stop_id,stop_name,stop_lat,stop_lon
400449,SAINT NICHOLAS AV/W 190 ST,40.854494,-73.930039
400452,SAINT NICHOLAS AV/W 184 ST,40.85079,-73.932783
400453,SAINT NICHOLAS AV/W 181 ST,40.849015,-73.934086
400454,SAINT NICHOLAS AV/W 178 ST,40.847482,-73.935168
400457,SAINT NICHOLAS AV/W 172 ST,40.843215,-73.938316
400461,SAINT NICHOLAS AV/W 164 ST,40.837543,-73.940115
400462,SAINT NICHOLAS AV/W 162 ST,40.83629,-73.940039
400467,SAINT NICHOLAS AV/W 150 ST,40.827466,-73.942831
400468,SAINT NICHOLAS AV/W 148 ST,40.82571,-73.943669
400469,SAINT NICHOLAS AV/W 145 ST,40.823764,-73.945033
400470,SAINT NICHOLAS AV/W 142 ST,40.822296,-73.945724
400471,SAINT NICHOLAS AV/W 141 ST,40.821042,-73.946307
400472,SAINT NICHOLAS AV/W 138 ST,40.818937,-73.947284
400473,SAINT NICHOLAS AV/W 135 ST,40.817178,-73.948099
400474,SAINT NICHOLAS AV/W 133 ST,40.81537,-73.948945
400475,SAINT NICHOLAS AV/W 130 ST,40.813469,-73.950237
400476,SAINT NICHOLAS AV/W 128 ST,40.812363,-73.951246
400477,SAINT NICHOLAS AV/W 125 ST,40.810492,-73.952926
400479,MANHATTAN AV/W 122 ST,40.808628,-73.95429
400482,MANHATTAN AV/W 116 ST,40.804751,-73.957121
400483,MANHATTAN AV/W 114 ST,40.803829,-73.957789
400484,MANHATTAN AV/W 112 ST,40.802216,-73.958968
400485,CATHEDRAL PKWY/MANHATTAN AV,40.801047,-73.959575
400486,CENTRAL PARK NORTH/CENTRAL PARK WEST,40.800357,-73.957727
400512,5 AV/W 59 ST,40.764429,-73.972966
400514,5 AV/W 52 ST,40.759924,-73.976306
400515,5 AV/W 49 ST,40.758031,-73.977678
400516,5 AV/W 46 ST,40.756156,-73.979047
400518,5 AV/W 41 ST,40.753191,-73.981154
400519,5 AV/W 38 ST,40.750927,-73.982808
400561,MADISON AV/E 42 ST,40.753337,-73.978759
400595,CATHEDRAL PKWY/MANHATTAN AV,40.801417,-73.959954
400596,CATHEDRAL PKWY/MORNINGSIDE DR,40.802016,-73.961395
400597,CATHEDRAL PKWY/AMSTERDAM AV,40.803219,-73.964208
400598,CATHEDRAL PKWY/BROADWAY,40.804038,-73.966264
400599,RIVERSIDE DR/W 112 ST,40.806297,-73.967664
400602,RIVERSIDE DR/W 119 ST,40.810907,-73.964175
400609,BROADWAY/W 137 ST,40.82124,-73.954014
400610,BROADWAY/W 139 ST,40.822815,-73.952874
400611,BROADWAY/W 141 ST,40.82408,-73.951948
400612,BROADWAY/W 143 ST,40.825312,-73.951051
400613,BROADWAY/W 145 ST,40.826791,-73.94997
400614,BROADWAY/W 147 ST,40.827916,-73.949145
400615,BROADWAY/W 149 ST,40.829167,-73.948237
400616,BROADWAY/W 151 ST,40.830413,-73.947322
400617,BROADWAY/W 153 ST,40.831697,-73.946385
400618,BROADWAY/W 155 ST,40.832992,-73.945441
400619,BROADWAY/W 157 ST,40.834257,-73.944519
400620,BROADWAY/W 159 ST,40.835516,-73.9436
400621,BROADWAY/W 161 ST,40.83674,-73.942702
400622,BROADWAY/W 163 ST,40.838005,-73.941772
400623,BROADWAY/W 165 ST,40.839363,-73.940785
400624,BROADWAY/W 167 ST,40.840308,-73.94011
400626,FORT WASHINGTON AV/W 171 ST,40.844315,-73.940871
400627,FORT WASHINGTON AV/W 173 ST,40.8457,-73.940298
400628,FORT WASHINGTON AV/W 175 ST,40.846825,-73.939845
400629,FORT WASHINGTON AV/W 177 ST,40.847906,-73.939407
400630,FORT WASHINGTON AV/W 179 ST,40.849229,-73.938932
400631,FORT WASHINGTON AV/W 181 ST,40.851202,-73.938078
400632,FORT WASHINGTON AV/W 183 ST,40.852396,-73.937654
400633,FORT WASHINGTON AV/W 185 ST,40.853639,-73.937266
400634,FORT WASHINGTON AV/W 187 ST,40.85507,-73.936723
400635,FORT WASHINGTON AV/W 190 ST,40.857335,-73.935335
400636,FORT WASHINGTON AV/CABRINI BLVD,40.859129,-73.934142
400639,FORT WASHINGTON AV/CABRINI BLVD,40.85916,-73.934198
400640,FORT WASHINGTON AV/W 190 ST,40.856809,-73.935921
400641,FORT WASHINGTON AV/W 187 ST,40.854822,-73.937062
400642,FORT WASHINGTON AV/W 185 ST,40.853134,-73.937591
400643,FORT WASHINGTON AV/W 183 ST,40.851888,-73.937987
400644,FORT WASHINGTON AV/W 181 ST,40.850634,-73.938487
400645,FORT WASHINGTON AV/W 179 ST,40.849216,-73.939025
400646,FORT WASHINGTON AV/W 177 ST,40.847583,-73.939718
400647,FORT WASHINGTON AV/W 174 ST,40.845854,-73.94041
400648,FORT WASHINGTON AV/W 172 ST,40.844435,-73.940982
400649,FORT WASHINGTON AV/W 170 ST,40.843204,-73.941912
400655,BROADWAY/W 157 ST,40.834229,-73.944922
400656,BROADWAY/W 155 ST,40.832512,-73.946226
400657,BROADWAY/W 152 ST,40.830668,-73.947579
400658,BROADWAY/W 150 ST,40.829398,-73.948497
400659,BROADWAY/W 147 ST,40.827513,-73.949879
400661,BROADWAY/W 142 ST,40.824316,-73.952208
400662,BROADWAY/W 140 ST,40.823073,-73.953123
400663,BROADWAY/W 138 ST,40.821841,-73.954028
400676,CATHEDRAL PKWY/BROADWAY,40.803862,-73.966205
400677,CATHEDRAL PKWY/AMSTERDAM AV,40.802722,-73.963511
400678,CATHEDRAL PKWY/COLUMBUS AV,40.801508,-73.960792
400716,W 34 ST/BROADWAY,40.749982,-73.98805
400719,WEST HOUSTON ST/SULLIVAN ST,40.727752,-74.001516
400722,6 AV/W 3 ST,40.730879,-74.001389
400723,6 AV/WAVERLY PL,40.733006,-73.999838
400724,6 AV/W 10 ST,40.734865,-73.998466
400725,6 AV/W 12 ST,40.736155,-73.997539
400731,6 AV/W 27 ST,40.745283,-73.990927
400732,6 AV/W 29 ST,40.746542,-73.990097
400744,W 57 ST/7 AV,40.765736,-73.980402
400745,W 57 ST/BROADWAY,40.766518,-73.982248
400747,BROADWAY/W 63 ST,40.77186,-73.981984
400750,BROADWAY/W 69 ST,40.776682,-73.981922
400751,W 72 ST/BROADWAY,40.779127,-73.982766
400752,W 72 ST/WEST END AV,40.780124,-73.984968
400755,RIVERSIDE DR/W 77 ST,40.783989,-73.983566
400756,RIVERSIDE DR/W 79 ST,40.785215,-73.982281
400759,RIVERSIDE DR/W 85 ST,40.789293,-73.98076
400760,RIVERSIDE DR/W 87 ST,40.790737,-73.979671
400761,RIVERSIDE DR/W 89 ST,40.791852,-73.978234
400762,RIVERSIDE DR/W 91 ST,40.792603,-73.977074
400764,RIVERSIDE DR/W 97 ST,40.79649,-73.974307
400768,RIVERSIDE DR/W 106 ST,40.802241,-73.970219
400769,RIVERSIDE DR/W 108 ST,40.803674,-73.969149
400771,RIVERSIDE DR/W 114 ST,40.807864,-73.966626
400772,RIVERSIDE DR/W 116 ST,40.809122,-73.965499
400796,BROADWAY/W 171 ST,40.843509,-73.939006
400798,BROADWAY/W 175 ST,40.846487,-73.938292
400799,W 178 ST/BROADWAY,40.84803,-73.936989
400808,BROADWAY/W 178 ST,40.848425,-73.937697
400809,BROADWAY/W 176 ST,40.846657,-73.938432
400810,BROADWAY/W 174 ST,40.845164,-73.938824
400811,BROADWAY/W 172 ST,40.843646,-73.939171
400812,BROADWAY/W 170 ST,40.842568,-73.939311
400814,BROADWAY/W 164 ST,40.838197,-73.942072
400815,BROADWAY/W 162 ST,40.836998,-73.942951
400816,BROADWAY/W 160 ST,40.835736,-73.943874
400834,RIVERSIDE DR/W 116 ST,40.808776,-73.966007
400835,RIVERSIDE DR/W 113 ST,40.807137,-73.967414
400836,RIVERSIDE DR/W 112 ST,40.806236,-73.967951
400837,RIVERSIDE DR/W 108 ST,40.803581,-73.969521
400838,RIVERSIDE DR/W 106 ST,40.802324,-73.970472
400840,RIVERSIDE DR/W 100 ST,40.798412,-73.973916
400841,RIVERSIDE DR/W 97 ST,40.796511,-73.974404
400843,RIVERSIDE DR/W 91 ST,40.792862,-73.977067
400846,RIVERSIDE DR/W 86 ST,40.789741,-73.9806
400847,RIVERSIDE DR/W 84 ST,40.788278,-73.981178
400848,RIVERSIDE DR/W 82 ST,40.786689,-73.981341
400849,RIVERSIDE DR/W 80 ST,40.785449,-73.982266
400851,RIVERSIDE DR/W 76 ST,40.783055,-73.984578
400852,RIVERSIDE DR/W 73 ST,40.781412,-73.985318
