id,bus_stop,w_distance
385824.0,HENRY HUDSON PKWY EAST/W 227 ST,14
386744.0,E 72 ST/2 AV,164
387666.0,EDGECOMBE AV/W 162 ST,53
466277.0,GRAND ST/LORIMER ST,117
466457.0,MARCUS GARVEY BLVD/LEXINGTON AV,80
467569.0,EAST HOUSTON ST/CLINTON ST,271
553872.0,W 145 ST/FREDERICK DOUGLASS BLVD,150
553903.0,FREDERICK DOUGLASS BLVD/W 145 ST,68
560078.0,AVENUE C/E 7 ST,82
568661.0,FLUSHING AV/JOHNSON AV,302
467866.0,HUDSON ST/BARROW ST,129
389482.0,MAIN ST/84 RD,364
392948.0,S 5 ST/HOOPER ST,88
394111.0,MAIN ST/MANTON ST,289
396636.0,SAINT NICHOLAS AV/W 153 ST,35
397034.0,RIVERSIDE DR/W 74 ST,150
569255.0,VAN BRUNT ST/PIONEER ST,56
570797.0,9 AV/W 46 ST,146
571564.0,NEW YORK AV/PROSPECT PL,47
573671.0,GATES AV/NOSTRAND AV,42
576227.0,BROADWAY/W 138 ST,157
578267.0,MADISON ST/MARKET ST,160
479002.0,GREENE AV/ADELPHI ST,107
479285.0,GREENPOINT AV/46 ST,747
483414.0,GATES AV/MARCY AV,323
487684.0,SMITH ST/BERGEN ST,70
491123.0,FLATBUSH AV/GRAND ARMY PLAZA,347
643328.0,WASHINGTON AV/PROSPECT PL,107
644575.0,CEBRA AV/SAINT PAULS AV,91
645075.0,W 49 ST/9 AV,202
645693.0,GREENPOINT AV/47 ST,1760
646458.0,KENT AV/S 3 ST,66
496166.0,7 AV/11 ST,202
581488.0,WYTHE AV/METROPOLITAN AV,139
582372.0,HOYT AV/31 ST,762
587698.0,KINGS HWY/E 3 ST,78
587740.0,6 AV/GRAND ST,147
590903.0,ADAM C POWELL BLVD/W 123 ST,112
591135.0,EAST HOUSTON ST/LAFAYETTE ST,93
498052.0,BEDFORD AV/GRAND ST,29
499763.0,9 AV/W 52 ST,169
504362.0,VANDERBILT AV/PARK PL,149
651375.0,EAST HOUSTON ST/CROSBY ST,42
651648.0,ATLANTIC AV/WAVERLY AV,139
655811.0,ESSEX ST/CANAL ST,122
656281.0,CATON AV/McDONALD AV,111
658366.0,E 14 ST/2 AV,182
658932.0,MYRTLE AV/SENECA AV,156
507393.0,GATES AV/MARCY AV,216
597668.0,HALSEY ST/MARCUS GARVEY BLVD,84
600775.0,BERGEN ST/CARLTON AV,188
602070.0,LORIMER ST/DRIGGS AV,72
512022.0,EAST HOUSTON ST/AV B,89
513343.0,VANDERBILT AV/STERLING PL,111
513688.0,ATLANTIC AV/3 AV,116
514548.0,DE KALB AV/MYRTLE AV,56
752616.0,ALLEN ST/HESTER ST,131
664047.0,W 65 ST/WEST END AV,7
666613.0,DRIGGS AV/S 4 ST,55
666837.0,ALLEN ST/DELANCEY ST,184
667502.0,FORT WASHINGTON AV/W 183 ST,67
669640.0,5 AV/UNION ST,154
606269.0,10 AV/W 45 ST,76
607781.0,3 AV/E 104 ST,50
611009.0,E 10 ST/AVENUE B,184
611156.0,W 155 ST/EDGECOMBE AV,184
613528.0,W 135 ST/SAINT NICHOLAS AV,67
753622.0,2 AV/E 13 ST,62
753687.0,FULTON ST/MARCUS GARVEY BLVD,86
753991.0,LEWIS AV/JEFFERSON AV,88
754353.0,21 ST/BROADWAY,1076
759901.0,ALLERTON AV/LACONIA AV,169
675793.0,W 10 ST/7 AV S,155
680225.0,STARR ST/WOODWARD AV,198
681599.0,5 AV/39 ST,108
684991.0,LEXINGTON AV/E 37 ST,67
690603.0,BERGEN ST/NOSTRAND AV,141
761835.0,21 ST/30 AV,608
618916.0,WASHINGTON AV/DEAN ST,39
634353.0,AMSTERDAM AV/W 65 ST,185
639199.0,AMBOY RD/BARNARD AV,518
762015.0,WILSON AV/JEFFERSON ST,278
762145.0,W 79 ST/RIVERSIDE DR,222
762426.0,MANHATTAN AV/W 106 ST,11
690934.0,BERGEN ST/5 AV,25
695216.0,VANDERBILT AV/WILLOUGHBY AV,246
698132.0,LAFAYETTE AV/LEWIS AV,27
698298.0,CLEVELAND  PL/SPRING ST,144
765315.0,BROADWAY/ROEBLING ST,380
765563.0,48 AV/216 ST,281
828130.0,FLATBUSH AV/OCEAN AV,107
828553.0,E 14 ST/3 AV,14
828616.0,UTICA AV/CARROLL ST,215
836720.0,20 AV/131 ST,276
837503.0,DE KALB AV/FRANKLIN AV,65
838070.0,5 AV/18 ST,44
765569.0,GOLD ST/TILLARY ST,13
767286.0,W 96 ST/WEST END AV,71
699472.0,S 4 ST/RODNEY ST,133
703971.0,NOSTRAND AV/HAWTHORNE ST,82
704838.0,82 ST/ROOSEVELT AV,1176
705749.0,TARGEE ST/WEST FINGERBOARD RD,464
705997.0,5 AV/21 ST,199
707396.0,E 10 ST/AVENUE B,200
711635.0,2 AV/E 9 ST,65
712127.0,TARGEE ST/ROME AV,317
840731.0,4 AV/E 10 ST,98
844319.0,OCEAN AV/GLENWOOD RD,259
846854.0,W 86 ST/COLUMBUS AV,113
847648.0,AMSTERDAM AV/W 149 ST,118
773885.0,FLUSHING AV/NOSTRAND AV,67
774791.0,KISSENA BLVD/ASH AV,55
776257.0,WYTHE AV/N 9 ST,201
777327.0,CONEY ISLAND AV/CORTELYOU RD,620
779838.0,RIVERSIDE DR/W 103 ST,319
783202.0,7 AV SOUTH/BARROW ST,137
783341.0,GRAND ST/PITT ST,66
848718.0,BEDFORD AV/MAPLE ST,76
850338.0,GRAHAM AV/JACKSON ST,107
850517.0,HALSEY ST/EVERGREEN AV,130
850712.0,6 AV/W 3 ST,251
850943.0,WYTHE AV/S 5 ST,171
852118.0,CLASSON AV/PROSPECT PL,159
712260.0,SMITH ST/UNION ST,101
713538.0,FULTON ST/GRAND AV,165
714049.0,82 ST/ROOSEVELT AV,1272
723709.0,MANHATTAN AV/W 113 ST,25
727512.0,pulaski br/box st,182
784122.0,THOMAS S BOYLAND ST/MARION ST,133
784124.0,THOMAS S BOYLAND ST/MARION ST,118
736187.0,NASSAU AV/ECKFORD ST,124
739239.0,W 86 ST/AMSTERDAM AV,276
739242.0,COLUMBUS AV/W 84 ST,129
740754.0,HOYT AV SOUTH/31 ST,453
747316.0,MANHATTAN AV/W 108 ST,40
